# Simulation 4 (Up to date)
# 528 data points written for 53 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
5.055,280.904,29.224,-12.352,29.515,12.381,25.753,1.2e-4,25.753,2.67e-4,4.136,0.852,45,3.28e-4,9.805,0.365,2.576e-4,9.558,0.024,60.459,12.3,9.486e-4,9.82e-6,31.824,23.959,3.146,0.088,8.402e5,0,0.161,0.617,0.618,0.433,0.063,0.121,0.076,0.238,7.412e-5,0,0,0,0,0.002,2.5,4.909,78.554,-8.898e-4,1.976,13.174,980.305,339.282,0.034,0.262
5.098,282.13,28.702,-12.336,28.994,12.344,25.928,1.222e-4,25.928,2.7e-4,4.109,0.449,45,3.302e-4,9.805,0.094,2.597e-4,-10.73,0.066,60.459,12.3,9.486e-4,9.82e-6,31.907,23.959,3.179,0.086,8.251e5,0,0.155,0.617,0.617,0.433,0.063,0.121,0.02,0.065,3.298e-4,0,0,0,0,-0.003,2.5,4.909,78.101,-0.003,1.881,13.166,980.161,339.278,0.042,0.262
5.148,283.55,28.087,-12.265,28.383,12.268,26.133,1.235e-4,26.133,2.708e-4,4.092,0.296,45,3.328e-4,9.805,0.285,2.563e-4,-8.142,0.019,60.459,12.3,9.486e-4,9.82e-6,31.848,23.959,3.156,0.085,8.082e5,0,0.149,0.617,0.617,0.433,0.063,0.121,0.06,0.19,3.58e-4,0,0,0,0,-0.002,2.5,4.909,77.615,-0.003,1.921,13.157,979.994,339.272,0.05,0.263
5.198,284.939,27.475,-12.192,27.776,12.193,26.337,1.235e-4,26.337,2.686e-4,4.082,0.151,45,3.354e-4,9.805,0.468,2.643e-4,-3.465,0.01,60.459,12.3,9.486e-4,9.82e-6,31.792,23.959,3.133,0.083,7.908e5,0,0.143,0.617,0.618,0.433,0.063,0.121,0.098,0.309,-3.459e-4,0,0,0,0,-3.629e-4,2.5,4.909,77.32,-0.002,1.855,13.148,979.831,339.267,0.05,0.263
5.234,285.914,27.04,-12.101,27.345,12.103,26.483,1.229e-4,26.483,2.659e-4,4.076,0.231,45,3.373e-4,9.805,0.361,2.445e-4,0.125,0.013,60.459,12.3,9.486e-4,9.82e-6,31.825,23.959,3.146,0.082,7.787e5,0,0.138,0.617,0.617,0.433,0.063,0.121,0.076,0.238,1.122e-4,0,0,0,0,4.872e-7,2.5,4.909,77.268,-1.665e-4,1.855,13.142,979.717,339.263,0.036,0.264
5.283,287.241,26.444,-11.937,26.753,11.948,26.685,1.223e-4,26.685,2.625e-4,4.057,0.525,45,3.398e-4,9.805,0.06,2.453e-4,-1.92,0.012,60.459,12.3,9.486e-4,9.82e-6,31.918,23.959,3.183,0.08,7.626e5,0,0.133,0.617,0.617,0.433,0.063,0.121,0.012,0.04,4.606e-4,0,0,0,0,-1.198e-4,2.5,4.909,77.344,0.003,1.916,13.133,979.561,339.257,0.05,0.264
5.333,288.548,25.851,-11.779,26.162,11.808,26.887,1.226e-4,26.887,2.612e-4,4.023,0.825,45,3.424e-4,9.805,0.52,2.525e-4,1.263,0.001,60.459,12.3,9.486e-4,9.82e-6,31.776,23.959,3.127,0.078,7.467e5,0,0.127,0.617,0.618,0.433,0.063,0.121,0.109,0.342,-1.173e-4,0,0,0,0,5.411e-5,2.5,4.909,77.384,0.004,2.022,13.124,979.408,339.252,0.05,0.265
5.369,289.467,25.431,-11.694,25.742,11.73,27.03,1.236e-4,27.03,2.619e-4,3.99,0.911,45,3.442e-4,9.805,0.674,2.403e-4,5.868,-0.004,60.459,12.3,9.486e-4,9.82e-6,31.73,23.959,3.108,0.077,7.353e5,0,0.124,0.617,0.618,0.433,0.063,0.121,0.143,0.443,3.101e-4,0,0,0,0,0.001,2.5,4.909,77.259,0.003,2.079,13.118,979.3,339.249,0.036,0.265
5.399,290.215,25.085,-11.649,25.396,11.681,27.148,1.248e-4,27.148,2.634e-4,3.964,0.865,45,3.457e-4,9.805,0.63,2.464e-4,9.671,0.005,60.459,12.3,9.486e-4,9.82e-6,31.743,23.959,3.113,0.076,7.258e5,0,0.12,0.617,0.618,0.433,0.063,0.121,0.133,0.411,1.281e-4,0,0,0,0,0.003,2.5,4.909,77.026,0.002,2.107,13.114,979.213,339.246,0.03,0.265
5.432,291.038,24.7,-11.627,25.012,11.647,27.279,1.264e-4,27.279,2.655e-4,3.938,0.683,45,3.474e-4,9.805,0.372,2.555e-4,12.811,0.017,60.459,12.3,9.486e-4,9.82e-6,31.821,23.959,3.145,0.075,7.15e5,0,0.117,0.617,0.617,0.433,0.063,0.121,0.078,0.239,2.805e-4,0,0,0,0,0.006,2.5,4.909,76.648,3.981e-4,2.093,13.108,979.116,339.243,0.033,0.266
5.481,292.247,24.125,-11.622,24.44,11.626,27.473,1.287e-4,27.473,2.685e-4,3.913,0.329,45,3.499e-4,9.805,0.193,2.12e-4,-13.59,0.038,60.459,12.3,9.486e-4,9.82e-6,31.876,23.959,3.167,0.073,6.985e5,0,0.111,0.617,0.617,0.433,0.063,0.121,0.04,0.135,1.252e-5,0,0,0,0,-0.007,2.5,4.909,75.968,-0.002,2.022,13.1,978.974,339.238,0.05,0.266
5.531,293.439,23.543,-11.605,23.865,11.605,27.669,1.303e-4,27.669,2.699e-4,3.905,0.066,45,3.524e-4,9.805,0.649,2.904e-4,-9.453,0.001,60.459,12.3,9.486e-4,9.82e-6,31.737,23.959,3.111,0.072,6.82e5,0,0.106,0.617,0.618,0.433,0.063,0.121,0.137,0.43,-2.604e-4,0,0,0,0,-0.004,2.5,4.909,75.372,-0.003,1.946,13.093,978.835,339.233,0.05,0.267
5.566,294.244,23.144,-11.548,23.471,11.548,27.803,1.308e-4,27.803,2.696e-4,3.904,0.074,45,3.541e-4,9.805,0.646,2.477e-4,-5.206,0.011,60.459,12.3,9.486e-4,9.82e-6,31.738,23.959,3.111,0.07,6.712e5,0,0.103,0.617,0.618,0.433,0.063,0.121,0.136,0.426,-2.186e-4,0,0,0,0,-0.001,2.5,4.909,75.118,-0.003,1.966,13.087,978.74,339.23,0.034,0.267
5.603,295.093,22.718,-11.44,23.05,11.443,27.948,1.309e-4,27.948,2.683e-4,3.898,0.259,45,3.559e-4,9.805,0.31,2.513e-4,-2.437,0.01,60.459,12.3,9.486e-4,9.82e-6,31.839,23.959,3.152,0.069,6.603e5,0,0.1,0.617,0.617,0.433,0.063,0.121,0.065,0.205,-5.18e-5,0,0,0,0,-2.571e-4,2.5,4.909,74.984,-0.002,2.067,13.082,978.641,339.227,0.037,0.268
5.653,296.215,22.15,-11.305,22.487,11.315,28.142,1.305e-4,28.142,2.656e-4,3.879,0.476,45,3.584e-4,9.805,0.129,2.554e-4,1.845,-0.006,60.459,12.3,9.486e-4,9.82e-6,31.895,23.959,3.174,0.068,6.453e5,0,0.095,0.617,0.617,0.433,0.063,0.121,0.027,0.084,2.186e-4,0,0,0,0,1.544e-4,2.5,4.909,74.897,-2.056e-4,2.158,13.075,978.509,339.222,0.05,0.268
5.703,297.308,21.587,-11.201,21.928,11.216,28.335,1.3e-4,28.335,2.629e-4,3.852,0.58,45,3.608e-4,9.805,0.378,2.358e-4,3.717,-0.014,60.459,12.3,9.486e-4,9.82e-6,31.819,23.959,3.144,0.066,6.3e5,0,0.091,0.617,0.617,0.433,0.063,0.121,0.079,0.249,-3.354e-6,0,0,0,0,6.568e-4,2.5,4.909,74.768,0.001,2.183,13.067,978.381,339.218,0.05,0.269
5.753,298.374,21.029,-11.112,21.374,11.13,28.527,1.3e-4,28.527,2.612e-4,3.821,0.637,45,3.633e-4,9.805,0.543,2.622e-4,7.036,-0.013,60.459,12.3,9.486e-4,9.82e-6,31.768,23.959,3.124,0.065,6.15e5,0,0.086,0.617,0.618,0.433,0.063,0.121,0.114,0.355,-3.137e-4,0,0,0,0,0.002,2.5,4.909,74.5,0.003,2.229,13.061,978.256,339.214,0.05,0.269
5.803,299.411,20.476,-11.031,20.823,11.051,28.717,1.308e-4,28.717,2.61e-4,3.788,0.675,45,3.657e-4,9.805,0.667,2.666e-4,11.324,-0.011,60.459,12.3,9.486e-4,9.82e-6,31.731,23.959,3.109,0.063,6.005e5,0,0.082,0.617,0.618,0.433,0.063,0.121,0.141,0.432,-4.275e-4,0,0,0,0,0.007,2.5,4.909,74.039,0.003,2.331,13.054,978.134,339.21,0.05,0.27
5.848,300.329,19.976,-11.016,20.327,11.027,28.889,1.323e-4,28.889,2.623e-4,3.761,0.485,45,3.679e-4,9.805,0.274,2.616e-4,14.029,-0.025,60.459,12.3,9.486e-4,9.82e-6,31.85,23.959,3.156,0.062,5.864e5,0,0.079,0.617,0.617,0.433,0.063,0.12,0.057,0.17,2.46e-4,0,0,0,0,0.011,2.5,4.909,73.45,0.002,2.276,13.048,978.026,339.206,0.045,0.27
5.898,301.314,19.426,-10.983,19.782,10.99,29.076,1.344e-4,29.076,2.648e-4,3.74,0.367,45,3.703e-4,9.805,0.001,2.162e-4,0,0,60.459,12.3,9.486e-4,9.82e-6,31.935,23.959,3.19,0.06,5.716e5,0,0.075,0.617,0.617,0.433,0.063,0.12,2.491e-4,3.053e-4,6.066e-5,0,0,0,0,0,2.5,4.909,72.719,0.001,2.301,13.041,977.911,339.202,0.05,0.271
5.948,302.272,18.877,-10.967,19.241,10.969,29.263,1.368e-4,29.263,2.679e-4,3.726,0.21,45,3.727e-4,9.805,0.401,2.193e-4,-13.449,-0.002,60.459,12.3,9.486e-4,9.82e-6,31.811,23.959,3.141,0.058,5.563e5,0,0.071,0.617,0.617,0.433,0.063,0.12,0.084,0.275,3.622e-4,0,0,0,0,-0.011,2.5,4.909,72.002,2.129e-5,2.257,13.035,977.799,339.198,0.05,0.271
5.998,303.202,18.33,-10.902,18.703,10.904,29.449,1.391e-4,29.449,2.706e-4,3.716,0.225,45,3.75e-4,9.805,0.362,2.415e-4,-11.19,0.01,60.459,12.3,9.486e-4,9.82e-6,31.823,23.959,3.145,0.057,5.422e5,0,0.067,0.617,0.617,0.433,0.063,0.12,0.076,0.246,4.753e-4,0,0,0,0,-0.008,2.5,4.909,71.388,-0.001,2.328,13.029,977.689,339.195,0.05,0.272
6.048,304.105,17.786,-10.867,18.168,10.868,29.634,1.409e-4,29.634,2.723e-4,3.707,0.142,45,3.774e-4,9.805,0.594,2.413e-4,-8.578,0.008,60.459,12.3,9.486e-4,9.82e-6,31.752,23.959,3.117,0.055,5.269e5,0,0.063,0.617,0.618,0.433,0.063,0.12,0.125,0.396,-3.117e-4,0,0,0,0,-0.005,2.5,4.909,70.892,-0.002,2.247,13.023,977.584,339.191,0.05,0.272
6.098,304.981,17.243,-10.818,17.636,10.819,29.82,1.42e-4,29.82,2.728e-4,3.701,0.104,45,3.798e-4,9.805,0.705,2.4e-4,-5.251,0.01,60.459,12.3,9.486e-4,9.82e-6,31.719,23.959,3.104,0.054,5.115e5,0,0.06,0.617,0.618,0.433,0.063,0.12,0.149,0.465,-2.76e-4,0,0,0,0,-0.002,2.5,4.909,70.548,-0.002,2.15,13.018,977.481,339.188,0.05,0.273
6.148,305.829,16.705,-10.729,17.108,10.731,30.005,1.425e-4,30.005,2.721e-4,3.694,0.188,45,3.821e-4,9.805,0.419,2.452e-4,-2.55,0.012,60.459,12.3,9.486e-4,9.82e-6,31.805,23.959,3.138,0.052,4.969e5,0,0.056,0.617,0.617,0.433,0.063,0.12,0.088,0.276,4.337e-4,0,0,0,0,-4.965e-4,2.5,4.909,70.362,-0.001,2.131,13.012,977.381,339.184,0.05,0.273
6.198,306.651,16.172,-10.579,16.585,10.59,30.189,1.426e-4,30.189,2.707e-4,3.677,0.471,45,3.845e-4,9.805,0.599,2.545e-4,2.926,-0.005,60.459,12.3,9.486e-4,9.82e-6,31.751,23.959,3.116,0.051,4.845e5,0,0.054,0.617,0.618,0.433,0.063,0.12,0.126,0.393,-2.96e-4,0,0,0,0,6.871e-4,2.5,4.909,70.247,-3.329e-4,2.328,13.007,977.285,339.181,0.05,0.274
6.248,307.447,15.645,-10.501,16.066,10.515,30.372,1.427e-4,30.372,2.692e-4,3.651,0.539,45,3.868e-4,9.805,0.932,2.574e-4,6.184,-0.006,60.459,12.3,9.486e-4,9.82e-6,31.651,23.959,3.077,0.049,4.704e5,0,0.051,0.617,0.619,0.433,0.064,0.12,0.199,0.608,-1.864e-4,0,0,0,0,0.003,2.5,4.909,70.024,6.681e-4,2.328,13.002,977.192,339.178,0.05,0.274
6.298,308.216,15.121,-10.464,15.55,10.475,30.554,1.429e-4,30.554,2.68e-4,3.625,0.483,45,3.891e-4,9.805,0.827,2.601e-4,9.642,-0.009,60.459,12.3,9.486e-4,9.82e-6,31.682,23.959,3.089,0.048,4.555e5,0,0.047,0.617,0.618,0.433,0.064,0.12,0.176,0.535,-2.702e-4,0,0,0,0,0.008,2.5,4.909,69.623,0.001,2.241,12.997,977.101,339.175,0.05,0.275
6.348,308.959,14.6,-10.399,15.037,10.412,30.735,1.435e-4,30.735,2.674e-4,3.6,0.523,45,3.914e-4,9.805,1.078,2.613e-4,13.113,-0.011,60.459,12.3,9.486e-4,9.82e-6,31.608,23.959,3.059,0.046,4.422e5,0,0.045,0.617,0.619,0.433,0.064,0.12,0.231,0.69,8.08e-5,0,0,0,0,0.017,2.5,4.909,69.054,0.002,2.307,12.992,977.014,339.172,0.05,0.275
6.398,309.676,14.08,-10.38,14.527,10.389,30.914,1.444e-4,30.914,2.676e-4,3.576,0.43,45,3.937e-4,9.805,0.788,2.535e-4,16.295,-0.017,60.459,12.3,9.486e-4,9.82e-6,31.694,23.959,3.094,0.045,4.278e5,0,0.042,0.617,0.618,0.433,0.064,0.12,0.167,0.49,-2.058e-4,0,0,0,0,0.027,2.5,4.909,68.311,0.002,2.248,12.987,976.93,339.169,0.05,0.275
6.448,310.367,13.562,-10.365,14.02,10.37,31.092,1.457e-4,31.092,2.686e-4,3.557,0.341,45,3.96e-4,9.805,0.455,2.156e-4,18.167,-0.028,60.459,12.3,9.486e-4,9.82e-6,31.794,23.959,3.134,0.043,4.137e5,0,0.039,0.617,0.618,0.433,0.064,0.12,0.096,0.263,-3.609e-4,0,0,0,0,0.036,2.5,4.909,67.441,0.002,2.202,12.983,976.849,339.166,0.05,0.276
6.498,311.032,13.044,-10.326,13.516,10.331,31.27,1.475e-4,31.27,2.702e-4,3.54,0.327,45,3.982e-4,9.805,0.445,2.42e-4,19.347,-0.021,60.459,12.3,9.486e-4,9.82e-6,31.797,23.959,3.135,0.042,4.007e5,0,0.037,0.617,0.618,0.433,0.064,0.12,0.094,0.249,1.596e-4,0,0,0,0,0.044,2.5,4.909,66.501,0.002,2.252,12.978,976.771,339.164,0.05,0.276
6.548,311.671,12.529,-10.276,13.015,10.281,31.446,1.495e-4,31.446,2.723e-4,3.524,0.345,45,4.005e-4,9.805,0.611,2.386e-4,20.652,-0.008,60.459,12.3,9.486e-4,9.82e-6,31.747,23.959,3.115,0.041,3.885e5,0,0.035,0.617,0.618,0.433,0.064,0.12,0.129,0.348,-2.608e-4,0,0,0,0,0.053,2.5,4.909,65.501,0.001,2.349,12.974,976.696,339.161,0.05,0.277
6.598,312.285,12.016,-10.267,12.517,10.27,31.622,1.516e-4,31.622,2.747e-4,3.508,0.265,45,4.027e-4,9.805,0.221,2.499e-4,21.549,-0.01,60.459,12.3,9.486e-4,9.82e-6,31.865,23.959,3.162,0.039,3.746e5,0,0.032,0.617,0.618,0.433,0.064,0.12,0.046,0.083,-2.172e-4,0,0,0,0,0.062,2.5,4.909,64.44,7.211e-4,2.294,12.97,976.624,339.159,0.05,0.277
6.648,312.873,11.503,-10.236,12.023,10.239,31.797,1.538e-4,31.797,2.772e-4,3.496,0.246,45,4.049e-4,9.805,0.163,2.555e-4,21.757,0.015,60.459,12.3,9.486e-4,9.82e-6,31.883,23.959,3.17,0.038,3.618e5,0,0.03,0.618,0.618,0.433,0.064,0.12,0.034,0.04,2.563e-4,0,0,0,0,0.068,2.5,4.909,63.356,2.423e-4,2.317,12.966,976.555,339.156,0.05,0.278
6.698,313.435,10.992,-10.212,11.531,10.214,31.972,1.56e-4,31.972,2.795e-4,3.484,0.217,45,4.072e-4,9.805,0.021,2.448e-4,21.718,0.264,60.459,12.3,9.486e-4,9.82e-6,31.927,23.959,3.187,0.037,3.487e5,0,0.028,0.619,0.619,0.435,0.064,0.12,0.004,-0.043,7.092e-5,0,0,0,0,0.057,2.5,4.909,62.267,-1.439e-4,2.3,12.963,976.489,339.154,0.05,0.278
6.748,313.972,10.482,-10.2,11.043,10.202,32.146,1.58e-4,32.146,2.817e-4,3.475,0.17,45,4.094e-4,9.805,0.29,2.318e-4,-21.184,0.028,60.459,12.3,9.486e-4,9.82e-6,31.844,23.959,3.154,0.035,3.348e5,0,0.026,0.623,0.623,0.439,0.064,0.12,0.061,0.267,5.027e-5,0,0,0,0,-0.075,2.5,4.909,61.19,-4.617e-4,2.22,12.959,976.426,339.152,0.05,0.278
6.798,314.483,9.973,-10.14,10.558,10.143,32.319,1.6e-4,32.319,2.836e-4,3.465,0.223,45,4.116e-4,9.805,0.196,2.234e-4,20.829,0.051,60.459,12.3,9.486e-4,9.82e-6,31.873,23.959,3.165,0.034,3.234e5,0,0.024,0.627,0.627,0.442,0.064,0.12,0.041,0.051,4.7e-4,0,0,0,0,0.078,2.5,4.909,60.144,-5.819e-4,2.306,12.956,976.366,339.15,0.05,0.279
6.848,314.969,9.467,-10.088,10.077,10.091,32.492,1.617e-4,32.492,2.852e-4,3.453,0.259,45,4.138e-4,9.805,0.616,2.271e-4,21.35,0.015,60.459,12.3,9.486e-4,9.82e-6,31.745,23.959,3.114,0.033,3.117e5,0,0.023,0.63,0.631,0.446,0.064,0.12,0.13,0.317,4.068e-4,0,0,0,0,0.088,2.5,4.909,59.092,-5.454e-4,2.355,12.953,976.309,339.148,0.05,0.279
# Event EJECTION_CHARGE occurred at t=6.86 seconds
6.86,315.081,9.348,-10.084,9.964,10.087,32.533,1.621e-4,32.533,2.855e-4,3.45,0.252,45,4.143e-4,9.805,0.582,2.444e-4,21.554,0.016,60.459,12.3,9.486e-4,9.82e-6,31.755,23.959,3.118,0.032,3.085e5,0,0.022,0.631,0.632,0.447,0.064,0.12,0.123,0.291,3.852e-4,0,0,0,0,0.092,2.5,4.909,58.838,-5.237e-4,2.334,12.952,976.296,339.148,0.012,0.28
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=6.861 seconds
6.863,315.104,9.323,-10.083,9.94,10.086,32.542,1.622e-4,32.542,2.856e-4,3.449,0.25,45,4.144e-4,9.805,0.568,2.442e-4,21.59,0.016,60.459,12.3,9.486e-4,9.82e-6,31.759,23.959,3.12,0.032,3.078e5,0,0.022,0.632,0.632,0.447,0.064,0.12,0.12,0.281,6.165e-5,0,0,0,0,0.093,2.5,4.909,58.784,-5.189e-4,2.328,12.952,976.294,339.148,0.003,0.281
6.864,315.114,9.256,-66.648,10.892,75.383,32.545,1.622e-4,32.545,2.856e-4,3.414,35.223,45,4.145e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.032,3.057e5,0,4.043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.328,12.952,976.294,339.148,0.001,0.418
6.865,315.123,9.185,-65.848,10.811,74.455,32.549,1.623e-4,32.549,2.856e-4,3.376,34.75,45,4.145e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.032,3.034e5,0,3.987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.325,12.952,976.292,339.148,0.001,0.419
6.866,315.133,9.114,-65.004,10.729,73.476,32.552,1.623e-4,32.552,2.857e-4,3.339,34.251,45,4.146e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.032,3.011e5,0,3.928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.323,12.952,976.291,339.148,0.001,0.419
6.867,315.144,9.042,-64.161,10.647,72.497,32.556,1.623e-4,32.556,2.857e-4,3.301,33.752,45,4.146e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.032,2.988e5,0,3.868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.32,12.952,976.29,339.148,0.001,0.419
6.868,315.154,8.97,-63.318,10.564,71.519,32.56,1.624e-4,32.56,2.857e-4,3.263,33.254,45,4.146e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.031,2.965e5,0,3.809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.318,12.952,976.289,339.148,0.001,0.419
6.869,315.164,8.897,-62.475,10.48,70.541,32.564,1.624e-4,32.564,2.858e-4,3.225,32.756,45,4.147e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.031,2.941e5,0,3.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.315,12.951,976.288,339.148,0.001,0.419
6.87,315.175,8.823,-61.633,10.396,69.564,32.568,1.625e-4,32.568,2.858e-4,3.186,32.257,45,4.147e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.031,2.918e5,0,3.691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.312,12.951,976.286,339.147,0.001,0.419
6.872,315.186,8.749,-60.791,10.311,68.587,32.571,1.625e-4,32.571,2.858e-4,3.147,31.759,45,4.148e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.031,2.894e5,0,3.632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.31,12.951,976.285,339.147,0.001,0.419
6.873,315.197,8.674,-59.949,10.226,67.61,32.575,1.625e-4,32.575,2.859e-4,3.108,31.261,45,4.148e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.03,2.87e5,0,3.573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.307,12.951,976.284,339.147,0.001,0.419
6.874,315.208,8.599,-59.107,10.139,66.634,32.579,1.626e-4,32.579,2.859e-4,3.069,30.763,45,4.149e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.03,2.846e5,0,3.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.304,12.951,976.283,339.147,0.001,0.42
6.875,315.219,8.523,-58.266,10.052,65.658,32.583,1.626e-4,32.583,2.859e-4,3.03,30.266,45,4.149e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.03,2.821e5,0,3.454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.301,12.951,976.281,339.147,0.001,0.42
6.877,315.23,8.446,-57.425,9.965,64.682,32.587,1.627e-4,32.587,2.86e-4,2.99,29.768,45,4.15e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.03,2.797e5,0,3.395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.298,12.951,976.28,339.147,0.001,0.42
6.878,315.242,8.368,-56.584,9.876,63.707,32.591,1.627e-4,32.591,2.86e-4,2.95,29.271,45,4.15e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.029,2.772e5,0,3.336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.295,12.951,976.279,339.147,0.001,0.42
6.879,315.253,8.29,-55.744,9.787,62.732,32.595,1.627e-4,32.595,2.861e-4,2.91,28.773,45,4.151e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.029,2.747e5,0,3.277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.292,12.951,976.277,339.147,0.001,0.42
6.881,315.265,8.212,-54.904,9.697,61.758,32.6,1.628e-4,32.6,2.861e-4,2.869,28.276,45,4.152e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.029,2.722e5,0,3.218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.288,12.951,976.276,339.147,0.001,0.42
6.882,315.277,8.132,-54.064,9.606,60.784,32.604,1.628e-4,32.604,2.861e-4,2.828,27.779,45,4.152e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.029,2.696e5,0,3.159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.285,12.951,976.275,339.147,0.001,0.42
6.884,315.289,8.052,-53.225,9.514,59.81,32.608,1.629e-4,32.608,2.862e-4,2.787,27.283,45,4.153e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.028,2.67e5,0,3.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.282,12.951,976.273,339.147,0.002,0.42
6.885,315.302,7.971,-52.386,9.422,58.837,32.612,1.629e-4,32.612,2.862e-4,2.746,26.786,45,4.153e-4,9.805,NaN,NaN,NaN,NaN,60.459,12.3,NaN,NaN,NaN,NaN,NaN,0.028,2.644e5,0,3.041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.278,12.951,976.272,339.147,0.002,0.421
